French,English
un,A
à,has
en,in
le,THE
et,And
être,be
de,of
avoir,to have
que,that
ne,born
dans,In
ce,This
il,he
qui,Who
pas,not
pour,For
sur,on
se,se
son,her
plus,more
pouvoir,power
par,by
je,I
avec,with
tout,All
faire,TO DO
nous,We
mettre,put
autre,other
on,we
mais,but
leur,their
comme,as
ou,Or
si,if
avant,Before
y,Y
dire,say
elle,She
devoir,duty
donner,give
deux,two
même,even
prendre,take
où,Or
aussi,Also
celui,the one
bien,GOOD
cela,that
fois,times
vous,YOU
encore,Again
vouloir,to want
nouveau,new
aller,go
entre,between
premier,first
aucun,none
déjà,Already
grand,big
mon,My
me,me
moins,less
quelque,some
lui,him
temps,time
très,very
savoir,know
falloir,to need
voir,see
notre,OUR
sans,without
dont,of which
raison,reason
monde,world
non,No
monsieur,Sir
an,year
jour,day
trouver,find
demander,ask
alors,SO
après,After
venir,come
personne,person
rendre,give back
part,go
dernier,last
lequel,which
pendant,during
passer,pass
peu,little
depuis,Since
suite,following
bon,Good
comprendre,to understand
rester,stay
point,point
ainsi,Thus
heure,hour
année,year
toujours,always
tenir,hold
porter,to carry
parler,talk
seul,alone
montrer,to show
là,there
certain,certain
fort,strong
tu,you
continuer,continue
pays,country
fin,END
penser,think
lieu,place
partie,part
quand,When
trois,three
contre,against
sous,below
côté,side
ensemble,together
chose,thing
enfant,child
suivre,follow
cause,cause
place,place
seulement,only
moi,Me
vie,life
politique,policy
jusque,until
croire,believe
homme,man
cas,case
connaître,to know
commencer,to start
compter,count
fait,do
tel,such
petit,little
question,question
donc,SO
quel,what
général,general
entendre,hear
beaucoup,a lot
chaque,each
droit,right
moment,moment
travail,work
femme,women
attendre,to wait for
remettre,to put back
jeune,young
permettre,allow
occuper,to occupy
gouvernement,government
eux,them
appeler,to call
devenir,become
partir,leave
décider,decide
soit,either
ici,here
rien,Nothing
plan,plan
cours,course
nom,name
famille,family
effet,effect
affaire,affair
arriver,arrive
servir,serve
mois,month
jamais,Never
car,because
possible,possible
tant,so much
vers,towards
besoin,need
revenir,to come back
sembler,seem
moyen,AVERAGE
groupe,band
problème,issue
rapport,report
dès,of the
peut-être,maybe
maintenant,NOW
pourquoi,Why
meilleur,best
vue,view
trop,too much
laisser,to leave 
ordre,order
devant,in front
